hospital_id,treatment_code,count_number,count_label
771096,KAHKO0,0,sehr wenige
771096,KAHM0,0,sehr wenige
771096,KAKIA,0,sehr wenige
771096,KAKIB,387,sehr viele
771096,KALE0,566,sehr viele
771096,KABK0,216,mittel
771096,KALK0,10,sehr wenige
771096,KADK0,82,sehr wenige
771096,KAOM0,13,sehr wenige
771096,KAPRK0,85,sehr wenige
771096,KAPK0,8,sehr wenige
771096,KAEH0,170,wenige
771096,KARH0,24,sehr wenige
771096,KARK0,6,sehr wenige
771096,KAEK0,118,wenige
771096,KASA0,564,sehr viele
771096,KAMUS0,36,sehr wenige
771096,KAPAR0,49,sehr wenige
771096,KAEN0,1011,sehr viele
771096,KABAA0,8,sehr wenige
771096,KASCHK0,248,mittel
771096,KAOH0,32,sehr wenige
771098,KAHKO0,0,sehr wenige
771098,KAHM0,0,sehr wenige
771098,KAKIA,0,sehr wenige
771098,KAKIB,29,sehr wenige
771098,KALE0,288,viele
771098,KABK0,0,sehr wenige
771098,KALK0,0,sehr wenige
771098,KADK0,14,sehr wenige
771098,KAOM0,0,sehr wenige
771098,KAPRK0,0,sehr wenige
771098,KAPK0,0,sehr wenige
771098,KAEH0,463,sehr viele
771098,KARH0,28,sehr wenige
771098,KARK0,59,sehr wenige
771098,KAEK0,576,sehr viele
771098,KASA0,0,sehr wenige
771098,KAMUS0,0,sehr wenige
771098,KAPAR0,0,sehr wenige
771098,KAEN0,0,sehr wenige
771098,KABAA0,0,sehr wenige
771098,KASCHK0,191,wenige
771098,KAOH0,14,sehr wenige
771099,KAHKO0,0,sehr wenige
771099,KAHM0,0,sehr wenige
771099,KAKIA,0,sehr wenige
771099,KAKIB,0,sehr wenige
771099,KALE0,0,sehr wenige
771099,KABK0,0,sehr wenige
771099,KALK0,0,sehr wenige
771099,KADK0,0,sehr wenige
771099,KAOM0,0,sehr wenige
771099,KAPRK0,0,sehr wenige
771099,KAPK0,0,sehr wenige
771099,KAEH0,393,sehr viele
771099,KARH0,0,sehr wenige
771099,KARK0,34,sehr wenige
771099,KAEK0,474,sehr viele
771099,KASA0,0,sehr wenige
771099,KAMUS0,0,sehr wenige
771099,KAPAR0,0,sehr wenige
771099,KAEN0,0,sehr wenige
771099,KABAA0,0,sehr wenige
771099,KASCHK0,0,sehr wenige
771099,KAOH0,0,sehr wenige
771100,KAHKO0,0,sehr wenige
771100,KAHM0,0,sehr wenige
771100,KAKIA,0,sehr wenige
771100,KAKIB,441,sehr viele
771100,KALE0,340,viele
771100,KABK0,21,sehr wenige
771100,KALK0,19,sehr wenige
771100,KADK0,62,sehr wenige
771100,KAOM0,7,sehr wenige
771100,KAPRK0,99,sehr wenige
771100,KAPK0,12,sehr wenige
771100,KAEH0,74,sehr wenige
771100,KARH0,40,sehr wenige
771100,KARK0,26,sehr wenige
771100,KAEK0,63,sehr wenige
771100,KASA0,415,sehr viele
771100,KAMUS0,29,sehr wenige
771100,KAPAR0,17,sehr wenige
771100,KAEN0,1332,sehr viele
771100,KABAA0,38,sehr wenige
771100,KASCHK0,331,viele
771100,KAOH0,68,sehr wenige
771101,KAHKO0,0,sehr wenige
771101,KAHM0,0,sehr wenige
771101,KAKIA,0,sehr wenige
771101,KAKIB,435,sehr viele
771101,KALE0,365,sehr viele
771101,KABK0,258,viele
771101,KALK0,0,sehr wenige
771101,KADK0,53,sehr wenige
771101,KAOM0,5,sehr wenige
771101,KAPRK0,0,sehr wenige
771101,KAPK0,5,sehr wenige
771101,KAEH0,49,sehr wenige
771101,KARH0,11,sehr wenige
771101,KARK0,14,sehr wenige
771101,KAEK0,49,sehr wenige
771101,KASA0,747,sehr viele
771101,KAMUS0,332,viele
771101,KAPAR0,96,sehr wenige
771101,KAEN0,1982,sehr viele
771101,KABAA0,17,sehr wenige
771101,KASCHK0,140,wenige
