city,latitude,longitude,nearest_distance
Diekhusen-Fahrstedt,53.94522,9.01951,9.663586237943372
Dingen,53.95621,9.12838,6.357261418277565
Dörpling,54.25996,9.30415,16.01118100386637
Eddelak,53.94634,9.13927,5.176496814296033
Eggstedt,54.05309,9.26029,18.612554019300795
Elpersbüttel,54.057,9.03023,16.14319545547985
Elpersbüttel,54.07298,9.04492,14.226455184277425
Elpersbüttel,54.06991,9.07217,14.405433453698022
Epenwöhrden,54.11031,9.05219,10.053281967103866
Fedderingen,54.28164,9.13137,9.694560359900958
Frestedt,54.02479,9.1769,14.035273782224575
Friedrichsgabekoog,54.15338,8.93514,10.635567230488586
Friedrichskoog,54.00704,8.88177,20.965522227419342
Gaushorn,54.19496,9.2251,9.425476744079683
Glüsing,54.27367,9.21947,12.21922202507583
Großenrade,54.02249,9.22385,14.56087525432752
Groven,54.31277,8.99314,13.76780822092575
Gudendorf,54.02509,9.10734,14.138892663268878
Hedwigenkoog,54.18067,8.85188,14.883413607306052
Heide,54.19489,9.09521,1.1000631928205256
Heide,54.20009,9.15753,5.015314276001111
Hellschen-Heringsand-Unterschaar,54.19408,8.87233,13.417265739982088
Helse,53.97588,9.01181,12.159796183045106
Hemme,54.28053,9.01151,10.01254519068694
Hemmingstedt,54.14981,9.08105,5.517969917575688
Hennstedt,54.28503,9.16516,10.97047229298234
Hennstedt,54.31959,9.18696,15.020405245656066
Hillgroven,54.22319,8.86974,13.823131092987882
Hochdonn,54.02325,9.28284,16.395075937594957
Hövede,54.24379,9.29367,14.70448921425115
Hollingstedt,54.2901,9.22664,13.831279721418698
Immenstedt,54.18248,9.29936,14.371461847302973
Kaiser-Wilhelm-Koog,53.9426,8.92714,14.696881745643973
Karolinenkoog,54.28537,8.96235,12.174334579677975
Kleve,54.33948,9.11858,15.739603566289134
Kleve,54.29489,9.1245,10.965675009572314
Kleve,54.33687,9.13021,15.591992611306875
Kleve,54.31819,9.13876,13.709985511457225
Krempel,54.31733,9.03114,13.466480588701694
Kronprinzenkoog,53.97134,8.96376,14.301322369496447
