treatment_code
KAHKO0
KAHM0
KAKIA
KAKIB
KALE0
KABK0
KALK0
KADK0
KAOM0
KAPRK0
KAPK0
KAEH0
KARH0
KARK0
KAEK0
KASA0
KAMUS0
KAPAR0
KAEN0
KABAA0
KASCHK0
KAOH0
