hospital_id,treatment_count,department_id
771003,7598,0100
771003,6347,1500
771003,5825,2400
771003,1897,2500
771003,627,1200
771003,485,3600
771003,431,0500
771003,162,0900
771003,88,3753
771003,15,1000
771011,4098,0103
771011,2981,0100
771011,2230,1600
771011,1761,1500
771011,958,3400
771011,521,2400
771011,449,0102
771011,227,3600
771011,187,1700
771011,126,0260
771011,21,3500
771012,2444,2400
771012,2242,1000
771012,1910,2800
771012,1291,0107
771012,1244,0103
771012,1128,1500
771012,937,0108
771012,771,3300
771012,732,0100
771012,700,0105
771012,651,1518
771012,565,0500
771012,311,0104
771012,241,3600
771012,170,1012
771012,0,2200
771015,1003,0100
771015,245,0200
771015,174,3600
771016,4779,0100
771016,2847,1600
771016,2387,1500
771016,2247,2400
771016,2210,1000
771016,1840,0103
771016,1804,2200
771016,1716,2800
771016,999,2600
771016,581,3600
771016,319,3752
771016,262,0200
771021,1123,0200
771021,460,2800
771021,176,0260
771028,2865,0100
771028,1052,2316
771028,845,1500
771029,2770,2400
771029,2754,0100
771029,1663,1500
771029,1125,1000
771029,204,3600
771030,4661,0100
771030,2171,1500
771030,1857,2600
771030,1790,2800
771030,613,0200
771030,283,3600
771030,132,0260
771031,131,0260
771039,5432,2400
771039,4173,3400
771039,3030,0100
771039,1537,1000
771039,681,3753
771039,489,0200
771039,334,1200
771039,168,1500
771039,149,3600
771040,2998,1500
771040,2809,0100
771040,499,2400
771040,167,1000
771040,125,3600
771040,0,3700
771041,2701,0100
771041,831,1500
771041,418,0200
771041,104,0261
771041,59,2200
771042,3455,0100
771042,2841,2400
771042,2760,0300
771042,2219,1600
771042,2022,1000
771042,2005,1500
771042,1743,2800
771042,1295,0800
771042,1037,1700
771042,525,0200
771042,246,3200
771042,245,3753
771042,107,3752
771042,82,3700
771042,75,2600
771042,70,1200
771042,30,0260
771042,0,2200
771043,4042,1500
771043,3964,2400
771043,3364,0100
771043,688,0200
771043,268,3752
771043,178,3600
771043,104,0260
771043,11,3700
771052,1665,0100
771052,1461,1500
771052,344,3600
771053,6232,0100
771053,2906,1500
771053,1494,2400
771054,888,1800
771056,7559,0103
771056,3096,2100
771056,1437,0153
771056,963,1100
771056,778,2136
771057,8254,2400
771057,3050,0103
771057,3043,0100
771057,2683,1500
771057,2421,1000
771057,2076,1800
771057,1786,0107
771057,1084,0200
771057,650,1200
771057,373,3600
771057,135,3752
771057,12,2600
771059,1499,0200
771060,752,2200
771061,3943,0103
771061,3722,0107
771061,3000,2400
771061,2311,1000
771061,2059,2200
771061,1801,1500
771061,1535,2600
771061,1422,1516
771061,1144,3600
771061,757,1523
771061,484,0200
771061,464,0114
771061,463,1518
771061,8,1519
771062,954,2600
771064,4799,2300
771065,3173,2200
771065,48,1500
771065,21,2425
771069,1046,2800
771070,3699,0103
771070,1562,0107
771070,1329,1600
771070,1024,2500
771070,865,1500
771070,772,0200
771070,562,1800
771070,197,2425
771071,6843,0800
771071,783,2000
771071,6,3300
771072,4988,0100
771072,4729,2300
771072,2350,1500
771072,41,2600
771073,1183,2800
771074,1723,2100
771075,271,2800
771076,2705,1523
771076,2657,1600
771076,1574,3755
771076,1164,1500
771076,547,1900
771076,76,0100
771076,21,2300
771077,4285,1500
771077,3811,0100
771077,3094,0300
771077,914,2400
771077,511,2200
771077,109,2600
771078,3015,0100
771078,2932,0103
771078,2545,1600
771078,1580,1500
771078,204,3752
771079,2046,1500
771079,1935,0100
771079,633,0200
771079,63,2700
771080,3818,0300
771080,2842,1600
771080,2757,0700
771080,2471,2800
771080,2027,0800
771080,1852,2200
771080,1681,0600
771080,1436,0100
771080,1221,1500
771080,1168,1700
771080,922,0500
771080,659,1900
771080,563,2100
771080,473,0900
771080,408,3650
771080,390,2000
771080,360,3600
771080,347,2856
771080,280,0100
771080,202,1800
771080,194,2800
771080,101,3700
771080,78,3700
771080,61,3617
771080,6,3700
771081,1242,2300
771082,4635,3400
771082,2112,3400
771082,489,3400
771083,5679,2400
771083,2230,2800
771083,2146,1000
771083,2108,0100
771083,2065,1600
771083,2012,0500
771083,1835,0300
771083,1567,0400
771083,950,0100
771083,928,0700
771083,899,1500
771083,665,1200
771083,545,2856
771083,425,2700
771083,305,3752
771083,249,3600
771083,200,3753
771083,160,3650
771083,148,2200
771083,75,3700
771083,74,3600
771083,0,3700
771084,3850,0500
771084,3260,2400
771084,2725,0700
771084,2021,0300
771084,1975,1500
771084,1447,0600
771084,1421,1600
771084,1043,0500
771084,755,0100
771084,651,1800
771084,536,0200
771084,255,0260
771084,234,0600
771084,191,3600
771084,151,3753
771084,132,3650
771085,5665,2400
771085,3552,1000
771085,2615,1300
771085,2390,0600
771085,1836,2600
771085,1818,0300
771085,1690,1600
