hospital_id,treatment_code,count_number,count_label
772247,KAHKO0,449,sehr viele
772247,KAHM0,614,sehr viele
772247,KAKIA,674,sehr viele
772247,KAKIB,1032,sehr viele
772247,KALE0,511,sehr viele
772247,KABK0,217,mittel
772247,KALK0,38,sehr wenige
772247,KADK0,67,sehr wenige
772247,KAOM0,35,sehr wenige
772247,KAPRK0,220,mittel
772247,KAPK0,26,sehr wenige
772247,KAEH0,186,wenige
772247,KARH0,148,wenige
772247,KARK0,96,sehr wenige
772247,KAEK0,134,wenige
772247,KASA0,1238,sehr viele
772247,KAMUS0,82,sehr wenige
772247,KAPAR0,217,mittel
772247,KAEN0,2729,sehr viele
772247,KABAA0,33,sehr wenige
772247,KASCHK0,193,wenige
772247,KAOH0,57,sehr wenige
772248,KAHKO0,0,sehr wenige
772248,KAHM0,0,sehr wenige
772248,KAKIA,0,sehr wenige
772248,KAKIB,0,sehr wenige
772248,KALE0,216,mittel
772248,KABK0,0,sehr wenige
772248,KALK0,256,viele
772248,KADK0,0,sehr wenige
772248,KAOM0,0,sehr wenige
772248,KAPRK0,0,sehr wenige
772248,KAPK0,0,sehr wenige
772248,KAEH0,0,sehr wenige
772248,KARH0,0,sehr wenige
772248,KARK0,0,sehr wenige
772248,KAEK0,0,sehr wenige
772248,KASA0,0,sehr wenige
772248,KAMUS0,0,sehr wenige
772248,KAPAR0,0,sehr wenige
772248,KAEN0,0,sehr wenige
772248,KABAA0,0,sehr wenige
772248,KASCHK0,0,sehr wenige
772248,KAOH0,0,sehr wenige
772251,KAHKO0,0,sehr wenige
772251,KAHM0,0,sehr wenige
772251,KAKIA,0,sehr wenige
772251,KAKIB,405,sehr viele
772251,KALE0,203,mittel
772251,KABK0,0,sehr wenige
772251,KALK0,5,sehr wenige
772251,KADK0,57,sehr wenige
772251,KAOM0,11,sehr wenige
772251,KAPRK0,129,wenige
772251,KAPK0,13,sehr wenige
772251,KAEH0,64,sehr wenige
772251,KARH0,7,sehr wenige
772251,KARK0,10,sehr wenige
772251,KAEK0,107,sehr wenige
772251,KASA0,65,sehr wenige
772251,KAMUS0,0,sehr wenige
772251,KAPAR0,8,sehr wenige
772251,KAEN0,488,sehr viele
772251,KABAA0,4,sehr wenige
772251,KASCHK0,171,wenige
772251,KAOH0,29,sehr wenige
772252,KAHKO0,0,sehr wenige
772252,KAHM0,0,sehr wenige
772252,KAKIA,0,sehr wenige
772252,KAKIB,862,sehr viele
772252,KALE0,345,sehr viele
772252,KABK0,177,wenige
772252,KALK0,0,sehr wenige
772252,KADK0,84,sehr wenige
772252,KAOM0,4,sehr wenige
772252,KAPRK0,0,sehr wenige
772252,KAPK0,12,sehr wenige
772252,KAEH0,0,sehr wenige
772252,KARH0,0,sehr wenige
772252,KARK0,0,sehr wenige
772252,KAEK0,0,sehr wenige
772252,KASA0,0,sehr wenige
772252,KAMUS0,0,sehr wenige
772252,KAPAR0,0,sehr wenige
772252,KAEN0,1081,sehr viele
772252,KABAA0,0,sehr wenige
772252,KASCHK0,0,sehr wenige
772252,KAOH0,0,sehr wenige
772253,KAHKO0,0,sehr wenige
772253,KAHM0,0,sehr wenige
772253,KAKIA,0,sehr wenige
772253,KAKIB,0,sehr wenige
772253,KALE0,143,wenige
772253,KABK0,0,sehr wenige
772253,KALK0,0,sehr wenige
772253,KADK0,0,sehr wenige
772253,KAOM0,0,sehr wenige
772253,KAPRK0,0,sehr wenige
772253,KAPK0,0,sehr wenige
772253,KAEH0,0,sehr wenige
772253,KARH0,0,sehr wenige
772253,KARK0,0,sehr wenige
772253,KAEK0,0,sehr wenige
772253,KASA0,0,sehr wenige
772253,KAMUS0,0,sehr wenige
772253,KAPAR0,0,sehr wenige
772253,KAEN0,0,sehr wenige
772253,KABAA0,0,sehr wenige
772253,KASCHK0,75,sehr wenige
772253,KAOH0,0,sehr wenige
772255,KAHKO0,0,sehr wenige
772255,KAHM0,0,sehr wenige
772255,KAKIA,0,sehr wenige
772255,KAKIB,14,sehr wenige
772255,KALE0,96,sehr wenige
772255,KABK0,0,sehr wenige
772255,KALK0,0,sehr wenige
772255,KADK0,8,sehr wenige
772255,KAOM0,0,sehr wenige
772255,KAPRK0,0,sehr wenige
772255,KAPK0,0,sehr wenige
772255,KAEH0,109,sehr wenige
772255,KARH0,6,sehr wenige
772255,KARK0,8,sehr wenige
772255,KAEK0,164,wenige
772255,KASA0,0,sehr wenige
772255,KAMUS0,0,sehr wenige
772255,KAPAR0,0,sehr wenige
772255,KAEN0,0,sehr wenige
772255,KABAA0,0,sehr wenige
772255,KASCHK0,0,sehr wenige
772255,KAOH0,0,sehr wenige
772256,KAHKO0,0,sehr wenige
772256,KAHM0,0,sehr wenige
772256,KAKIA,0,sehr wenige
772256,KAKIB,6,sehr wenige
772256,KALE0,201,wenige
772256,KABK0,0,sehr wenige
772256,KALK0,0,sehr wenige
772256,KADK0,0,sehr wenige
772256,KAOM0,0,sehr wenige
772256,KAPRK0,0,sehr wenige
772256,KAPK0,0,sehr wenige
772256,KAEH0,0,sehr wenige
772256,KARH0,0,sehr wenige
772256,KARK0,0,sehr wenige
772256,KAEK0,0,sehr wenige
772256,KASA0,364,sehr viele
772256,KAMUS0,0,sehr wenige
772256,KAPAR0,13,sehr wenige
772256,KAEN0,0,sehr wenige
772256,KABAA0,0,sehr wenige
772256,KASCHK0,0,sehr wenige
772256,KAOH0,0,sehr wenige
772259,KAHKO0,0,sehr wenige
772259,KAHM0,0,sehr wenige
772259,KAKIA,0,sehr wenige
772259,KAKIB,431,sehr viele
772259,KALE0,431,sehr viele
772259,KABK0,0,sehr wenige
772259,KALK0,65,sehr wenige
772259,KADK0,43,sehr wenige
772259,KAOM0,0,sehr wenige
772259,KAPRK0,0,sehr wenige
772259,KAPK0,0,sehr wenige
772259,KAEH0,150,wenige
772259,KARH0,12,sehr wenige
772259,KARK0,18,sehr wenige
772259,KAEK0,164,wenige
772259,KASA0,0,sehr wenige
772259,KAMUS0,0,sehr wenige
772259,KAPAR0,0,sehr wenige
772259,KAEN0,0,sehr wenige
772259,KABAA0,11,sehr wenige
772259,KASCHK0,198,wenige
772259,KAOH0,57,sehr wenige
772261,KAHKO0,0,sehr wenige
772261,KAHM0,0,sehr wenige
772261,KAKIA,0,sehr wenige
772261,KAKIB,562,sehr viele
772261,KALE0,179,wenige
772261,KABK0,0,sehr wenige
772261,KALK0,0,sehr wenige
772261,KADK0,21,sehr wenige
772261,KAOM0,0,sehr wenige
772261,KAPRK0,0,sehr wenige
772261,KAPK0,0,sehr wenige
772261,KAEH0,118,wenige
