hospital_id,treatment_code,count_number,count_label
773673,KAHKO0,0,sehr wenige
773673,KAHM0,0,sehr wenige
773673,KAKIA,0,sehr wenige
773673,KAKIB,27,sehr wenige
773673,KALE0,94,sehr wenige
773673,KABK0,0,sehr wenige
773673,KALK0,0,sehr wenige
773673,KADK0,29,sehr wenige
773673,KAOM0,0,sehr wenige
773673,KAPRK0,0,sehr wenige
773673,KAPK0,0,sehr wenige
773673,KAEH0,560,sehr viele
773673,KARH0,37,sehr wenige
773673,KARK0,71,sehr wenige
773673,KAEK0,552,sehr viele
773673,KASA0,0,sehr wenige
773673,KAMUS0,0,sehr wenige
773673,KAPAR0,0,sehr wenige
773673,KAEN0,0,sehr wenige
773673,KABAA0,0,sehr wenige
773673,KASCHK0,23,sehr wenige
773673,KAOH0,0,sehr wenige
773674,KAHKO0,0,sehr wenige
773674,KAHM0,0,sehr wenige
773674,KAKIA,0,sehr wenige
773674,KAKIB,87,sehr wenige
773674,KALE0,115,wenige
773674,KABK0,0,sehr wenige
773674,KALK0,0,sehr wenige
773674,KADK0,23,sehr wenige
773674,KAOM0,0,sehr wenige
773674,KAPRK0,0,sehr wenige
773674,KAPK0,0,sehr wenige
773674,KAEH0,104,sehr wenige
773674,KARH0,14,sehr wenige
773674,KARK0,15,sehr wenige
773674,KAEK0,93,sehr wenige
773674,KASA0,178,wenige
773674,KAMUS0,11,sehr wenige
773674,KAPAR0,16,sehr wenige
773674,KAEN0,0,sehr wenige
773674,KABAA0,21,sehr wenige
773674,KASCHK0,306,viele
773674,KAOH0,27,sehr wenige
773675,KAHKO0,387,sehr viele
773675,KAHM0,487,sehr viele
773675,KAKIA,399,sehr viele
773675,KAKIB,648,sehr viele
773675,KALE0,880,sehr viele
773675,KABK0,243,mittel
773675,KALK0,57,sehr wenige
773675,KADK0,76,sehr wenige
773675,KAOM0,57,sehr wenige
773675,KAPRK0,665,sehr viele
773675,KAPK0,46,sehr wenige
773675,KAEH0,57,sehr wenige
773675,KARH0,20,sehr wenige
773675,KARK0,19,sehr wenige
773675,KAEK0,39,sehr wenige
773675,KASA0,884,sehr viele
773675,KAMUS0,442,sehr viele
773675,KAPAR0,692,sehr viele
773675,KAEN0,3005,sehr viele
773675,KABAA0,185,wenige
773675,KASCHK0,210,mittel
773675,KAOH0,76,sehr wenige
773680,KAHKO0,0,sehr wenige
773680,KAHM0,0,sehr wenige
773680,KAKIA,0,sehr wenige
773680,KAKIB,15,sehr wenige
773680,KALE0,394,sehr viele
773680,KABK0,0,sehr wenige
773680,KALK0,0,sehr wenige
