hospital_id,treatment_code,count_number,count_label
772820,KAHKO0,0,sehr wenige
772820,KAHM0,0,sehr wenige
772820,KAKIA,0,sehr wenige
772820,KAKIB,82,sehr wenige
772820,KALE0,204,mittel
772820,KABK0,0,sehr wenige
772820,KALK0,0,sehr wenige
772820,KADK0,37,sehr wenige
772820,KAOM0,4,sehr wenige
772820,KAPRK0,0,sehr wenige
772820,KAPK0,0,sehr wenige
772820,KAEH0,146,wenige
772820,KARH0,12,sehr wenige
772820,KARK0,16,sehr wenige
772820,KAEK0,219,mittel
772820,KASA0,0,sehr wenige
772820,KAMUS0,0,sehr wenige
772820,KAPAR0,0,sehr wenige
772820,KAEN0,407,sehr viele
772820,KABAA0,0,sehr wenige
772820,KASCHK0,55,sehr wenige
772820,KAOH0,0,sehr wenige
772821,KAHKO0,0,sehr wenige
772821,KAHM0,0,sehr wenige
772821,KAKIA,0,sehr wenige
772821,KAKIB,187,wenige
772821,KALE0,395,sehr viele
772821,KABK0,131,wenige
772821,KALK0,0,sehr wenige
772821,KADK0,35,sehr wenige
772821,KAOM0,0,sehr wenige
772821,KAPRK0,0,sehr wenige
772821,KAPK0,0,sehr wenige
772821,KAEH0,71,sehr wenige
772821,KARH0,11,sehr wenige
772821,KARK0,11,sehr wenige
772821,KAEK0,110,sehr wenige
772821,KASA0,0,sehr wenige
772821,KAMUS0,0,sehr wenige
772821,KAPAR0,0,sehr wenige
772821,KAEN0,683,sehr viele
772821,KABAA0,0,sehr wenige
772821,KASCHK0,270,viele
772821,KAOH0,4,sehr wenige
772823,KAHKO0,0,sehr wenige
772823,KAHM0,0,sehr wenige
772823,KAKIA,0,sehr wenige
772823,KAKIB,151,wenige
772823,KALE0,515,sehr viele
772823,KABK0,34,sehr wenige
772823,KALK0,0,sehr wenige
772823,KADK0,30,sehr wenige
772823,KAOM0,0,sehr wenige
772823,KAPRK0,0,sehr wenige
772823,KAPK0,0,sehr wenige
772823,KAEH0,74,sehr wenige
772823,KARH0,12,sehr wenige
772823,KARK0,10,sehr wenige
772823,KAEK0,57,sehr wenige
772823,KASA0,225,mittel
772823,KAMUS0,0,sehr wenige
772823,KAPAR0,4,sehr wenige
772823,KAEN0,1116,sehr viele
772823,KABAA0,17,sehr wenige
772823,KASCHK0,191,wenige
772823,KAOH0,12,sehr wenige
772825,KAHKO0,0,sehr wenige
772825,KAHM0,0,sehr wenige
772825,KAKIA,0,sehr wenige
772825,KAKIB,0,sehr wenige
772825,KALE0,167,wenige
772825,KABK0,0,sehr wenige
772825,KALK0,0,sehr wenige
772825,KADK0,0,sehr wenige
772825,KAOM0,0,sehr wenige
772825,KAPRK0,0,sehr wenige
772825,KAPK0,0,sehr wenige
772825,KAEH0,0,sehr wenige
