hospital_id,treatment_code,count_number,count_label
772176,KAHKO0,0,sehr wenige
772176,KAHM0,126,wenige
772176,KAKIA,0,sehr wenige
772176,KAKIB,497,sehr viele
772176,KALE0,322,viele
772176,KABK0,342,viele
772176,KALK0,0,sehr wenige
772176,KADK0,174,wenige
772176,KAOM0,19,sehr wenige
772176,KAPRK0,0,sehr wenige
772176,KAPK0,17,sehr wenige
772176,KAEH0,914,sehr viele
772176,KARH0,82,sehr wenige
772176,KARK0,56,sehr wenige
772176,KAEK0,429,sehr viele
772176,KASA0,465,sehr viele
772176,KAMUS0,29,sehr wenige
772176,KAPAR0,29,sehr wenige
772176,KAEN0,1453,sehr viele
772176,KABAA0,24,sehr wenige
772176,KASCHK0,368,sehr viele
772176,KAOH0,36,sehr wenige
772177,KAHKO0,0,sehr wenige
772177,KAHM0,0,sehr wenige
772177,KAKIA,0,sehr wenige
772177,KAKIB,0,sehr wenige
772177,KALE0,220,mittel
772177,KABK0,8,sehr wenige
772177,KALK0,0,sehr wenige
772177,KADK0,35,sehr wenige
772177,KAOM0,0,sehr wenige
772177,KAPRK0,26,sehr wenige
772177,KAPK0,0,sehr wenige
772177,KAEH0,107,sehr wenige
772177,KARH0,6,sehr wenige
772177,KARK0,11,sehr wenige
772177,KAEK0,187,wenige
772177,KASA0,0,sehr wenige
772177,KAMUS0,0,sehr wenige
772177,KAPAR0,4,sehr wenige
772177,KAEN0,535,sehr viele
772177,KABAA0,0,sehr wenige
772177,KASCHK0,0,sehr wenige
772177,KAOH0,0,sehr wenige
772178,KAHKO0,0,sehr wenige
772178,KAHM0,0,sehr wenige
772178,KAKIA,0,sehr wenige
772178,KAKIB,0,sehr wenige
772178,KALE0,12,sehr wenige
772178,KABK0,0,sehr wenige
772178,KALK0,0,sehr wenige
772178,KADK0,0,sehr wenige
772178,KAOM0,0,sehr wenige
772178,KAPRK0,0,sehr wenige
772178,KAPK0,0,sehr wenige
772178,KAEH0,0,sehr wenige
772178,KARH0,0,sehr wenige
772178,KARK0,0,sehr wenige
772178,KAEK0,0,sehr wenige
772178,KASA0,706,sehr viele
772178,KAMUS0,62,sehr wenige
772178,KAPAR0,35,sehr wenige
772178,KAEN0,0,sehr wenige
772178,KABAA0,0,sehr wenige
772178,KASCHK0,0,sehr wenige
772178,KAOH0,0,sehr wenige
772183,KAHKO0,0,sehr wenige
772183,KAHM0,0,sehr wenige
772183,KAKIA,0,sehr wenige
772183,KAKIB,0,sehr wenige
772183,KALE0,0,sehr wenige
772183,KABK0,0,sehr wenige
772183,KALK0,0,sehr wenige
772183,KADK0,0,sehr wenige
772183,KAOM0,0,sehr wenige
772183,KAPRK0,0,sehr wenige
772183,KAPK0,0,sehr wenige
772183,KAEH0,0,sehr wenige
772183,KARH0,0,sehr wenige
772183,KARK0,0,sehr wenige
772183,KAEK0,0,sehr wenige
772183,KASA0,0,sehr wenige
772183,KAMUS0,0,sehr wenige
772183,KAPAR0,0,sehr wenige
772183,KAEN0,0,sehr wenige
772183,KABAA0,0,sehr wenige
772183,KASCHK0,0,sehr wenige
772183,KAOH0,0,sehr wenige
772184,KAHKO0,0,sehr wenige
772184,KAHM0,0,sehr wenige
772184,KAKIA,0,sehr wenige
772184,KAKIB,0,sehr wenige
772184,KALE0,0,sehr wenige
772184,KABK0,0,sehr wenige
772184,KALK0,0,sehr wenige
772184,KADK0,0,sehr wenige
772184,KAOM0,0,sehr wenige
772184,KAPRK0,0,sehr wenige
772184,KAPK0,0,sehr wenige
772184,KAEH0,0,sehr wenige
772184,KARH0,0,sehr wenige
772184,KARK0,0,sehr wenige
772184,KAEK0,0,sehr wenige
772184,KASA0,0,sehr wenige
772184,KAMUS0,0,sehr wenige
772184,KAPAR0,0,sehr wenige
772184,KAEN0,0,sehr wenige
772184,KABAA0,0,sehr wenige
772184,KASCHK0,0,sehr wenige
772184,KAOH0,0,sehr wenige
772185,KAHKO0,75,sehr wenige
772185,KAHM0,0,sehr wenige
772185,KAKIA,114,sehr wenige
772185,KAKIB,0,sehr wenige
772185,KALE0,0,sehr wenige
772185,KABK0,0,sehr wenige
772185,KALK0,0,sehr wenige
772185,KADK0,0,sehr wenige
772185,KAOM0,0,sehr wenige
772185,KAPRK0,0,sehr wenige
772185,KAPK0,0,sehr wenige
772185,KAEH0,0,sehr wenige
772185,KARH0,0,sehr wenige
772185,KARK0,0,sehr wenige
772185,KAEK0,0,sehr wenige
772185,KASA0,0,sehr wenige
772185,KAMUS0,0,sehr wenige
772185,KAPAR0,0,sehr wenige
772185,KAEN0,0,sehr wenige
772185,KABAA0,0,sehr wenige
772185,KASCHK0,0,sehr wenige
772185,KAOH0,0,sehr wenige
772187,KAHKO0,0,sehr wenige
772187,KAHM0,0,sehr wenige
772187,KAKIA,0,sehr wenige
772187,KAKIB,514,sehr viele
