hospital_id,treatment_code,count_number,count_label
772096,KAHKO0,0,sehr wenige
772096,KAHM0,0,sehr wenige
772096,KAKIA,0,sehr wenige
772096,KAKIB,82,sehr wenige
772096,KALE0,305,viele
772096,KABK0,6,sehr wenige
772096,KALK0,0,sehr wenige
772096,KADK0,24,sehr wenige
772096,KAOM0,0,sehr wenige
772096,KAPRK0,21,sehr wenige
772096,KAPK0,0,sehr wenige
772096,KAEH0,66,sehr wenige
772096,KARH0,0,sehr wenige
772096,KARK0,0,sehr wenige
772096,KAEK0,58,sehr wenige
772096,KASA0,43,sehr wenige
772096,KAMUS0,0,sehr wenige
772096,KAPAR0,13,sehr wenige
772096,KAEN0,73,sehr wenige
772096,KABAA0,0,sehr wenige
772096,KASCHK0,0,sehr wenige
772096,KAOH0,0,sehr wenige
772097,KAHKO0,0,sehr wenige
772097,KAHM0,0,sehr wenige
772097,KAKIA,0,sehr wenige
772097,KAKIB,0,sehr wenige
772097,KALE0,0,sehr wenige
772097,KABK0,0,sehr wenige
772097,KALK0,0,sehr wenige
772097,KADK0,0,sehr wenige
772097,KAOM0,0,sehr wenige
772097,KAPRK0,0,sehr wenige
772097,KAPK0,0,sehr wenige
772097,KAEH0,722,sehr viele
772097,KARH0,54,sehr wenige
772097,KARK0,64,sehr wenige
772097,KAEK0,677,sehr viele
772097,KASA0,0,sehr wenige
772097,KAMUS0,0,sehr wenige
772097,KAPAR0,0,sehr wenige
772097,KAEN0,0,sehr wenige
772097,KABAA0,0,sehr wenige
772097,KASCHK0,0,sehr wenige
772097,KAOH0,0,sehr wenige
772098,KAHKO0,0,sehr wenige
772098,KAHM0,0,sehr wenige
772098,KAKIA,0,sehr wenige
772098,KAKIB,216,mittel
772098,KALE0,191,wenige
772098,KABK0,0,sehr wenige
772098,KALK0,0,sehr wenige
772098,KADK0,30,sehr wenige
772098,KAOM0,0,sehr wenige
772098,KAPRK0,0,sehr wenige
772098,KAPK0,0,sehr wenige
772098,KAEH0,54,sehr wenige
772098,KARH0,4,sehr wenige
772098,KARK0,6,sehr wenige
772098,KAEK0,73,sehr wenige
772098,KASA0,0,sehr wenige
772098,KAMUS0,0,sehr wenige
772098,KAPAR0,0,sehr wenige
772098,KAEN0,521,sehr viele
772098,KABAA0,25,sehr wenige
772098,KASCHK0,228,mittel
772098,KAOH0,18,sehr wenige
772099,KAHKO0,289,viele
772099,KAHM0,619,sehr viele
772099,KAKIA,727,sehr viele
772099,KAKIB,1769,sehr viele
772099,KALE0,239,mittel
772099,KABK0,357,sehr viele
772099,KALK0,0,sehr wenige
772099,KADK0,60,sehr wenige
772099,KAOM0,8,sehr wenige
772099,KAPRK0,0,sehr wenige
772099,KAPK0,4,sehr wenige
772099,KAEH0,0,sehr wenige
772099,KARH0,0,sehr wenige
772099,KARK0,0,sehr wenige
772099,KAEK0,0,sehr wenige
772099,KASA0,0,sehr wenige
772099,KAMUS0,0,sehr wenige
772099,KAPAR0,0,sehr wenige
772099,KAEN0,1264,sehr viele
772099,KABAA0,39,sehr wenige
772099,KASCHK0,340,viele
772099,KAOH0,84,sehr wenige
772113,KAHKO0,0,sehr wenige
772113,KAHM0,0,sehr wenige
772113,KAKIA,0,sehr wenige
772113,KAKIB,576,sehr viele
772113,KALE0,596,sehr viele
772113,KABK0,0,sehr wenige
772113,KALK0,18,sehr wenige
772113,KADK0,76,sehr wenige
772113,KAOM0,8,sehr wenige
772113,KAPRK0,42,sehr wenige
772113,KAPK0,14,sehr wenige
772113,KAEH0,74,sehr wenige
772113,KARH0,18,sehr wenige
772113,KARK0,9,sehr wenige
772113,KAEK0,45,sehr wenige
772113,KASA0,999,sehr viele
772113,KAMUS0,42,sehr wenige
772113,KAPAR0,60,sehr wenige
772113,KAEN0,0,sehr wenige
772113,KABAA0,11,sehr wenige
772113,KASCHK0,120,wenige
772113,KAOH0,28,sehr wenige
772114,KAHKO0,0,sehr wenige
772114,KAHM0,0,sehr wenige
772114,KAKIA,0,sehr wenige
772114,KAKIB,0,sehr wenige
772114,KALE0,223,mittel
772114,KABK0,0,sehr wenige
772114,KALK0,0,sehr wenige
772114,KADK0,0,sehr wenige
772114,KAOM0,0,sehr wenige
772114,KAPRK0,0,sehr wenige
772114,KAPK0,0,sehr wenige
772114,KAEH0,0,sehr wenige
772114,KARH0,0,sehr wenige
772114,KARK0,0,sehr wenige
772114,KAEK0,0,sehr wenige
772114,KASA0,0,sehr wenige
772114,KAMUS0,0,sehr wenige
772114,KAPAR0,0,sehr wenige
772114,KAEN0,0,sehr wenige
772114,KABAA0,0,sehr wenige
772114,KASCHK0,0,sehr wenige
772114,KAOH0,0,sehr wenige
772116,KAHKO0,0,sehr wenige
772116,KAHM0,0,sehr wenige
772116,KAKIA,0,sehr wenige
772116,KAKIB,392,sehr viele
772116,KALE0,15,sehr wenige
772116,KABK0,301,viele
772116,KALK0,0,sehr wenige
772116,KADK0,13,sehr wenige
772116,KAOM0,0,sehr wenige
772116,KAPRK0,0,sehr wenige
772116,KAPK0,0,sehr wenige
772116,KAEH0,0,sehr wenige
772116,KARH0,0,sehr wenige
772116,KARK0,0,sehr wenige
772116,KAEK0,0,sehr wenige
772116,KASA0,0,sehr wenige
772116,KAMUS0,0,sehr wenige
772116,KAPAR0,0,sehr wenige
772116,KAEN0,1048,sehr viele
772116,KABAA0,33,sehr wenige
772116,KASCHK0,386,sehr viele
772116,KAOH0,62,sehr wenige
772117,KAHKO0,0,sehr wenige
772117,KAHM0,0,sehr wenige
772117,KAKIA,0,sehr wenige
772117,KAKIB,0,sehr wenige
772117,KALE0,5,sehr wenige
772117,KABK0,0,sehr wenige
772117,KALK0,0,sehr wenige
772117,KADK0,0,sehr wenige
772117,KAOM0,0,sehr wenige
772117,KAPRK0,0,sehr wenige
772117,KAPK0,0,sehr wenige
772117,KAEH0,522,sehr viele
772117,KARH0,30,sehr wenige
772117,KARK0,41,sehr wenige
772117,KAEK0,471,sehr viele
772117,KASA0,0,sehr wenige
772117,KAMUS0,0,sehr wenige
772117,KAPAR0,0,sehr wenige
772117,KAEN0,0,sehr wenige
772117,KABAA0,0,sehr wenige
772117,KASCHK0,0,sehr wenige
772117,KAOH0,0,sehr wenige
772118,KAHKO0,0,sehr wenige
772118,KAHM0,0,sehr wenige
772118,KAKIA,0,sehr wenige
772118,KAKIB,0,sehr wenige
772118,KALE0,65,sehr wenige
772118,KABK0,0,sehr wenige
772118,KALK0,0,sehr wenige
772118,KADK0,4,sehr wenige
772118,KAOM0,0,sehr wenige
772118,KAPRK0,0,sehr wenige
772118,KAPK0,0,sehr wenige
772118,KAEH0,199,wenige
772118,KARH0,6,sehr wenige
772118,KARK0,6,sehr wenige
772118,KAEK0,50,sehr wenige
772118,KASA0,4,sehr wenige
772118,KAMUS0,0,sehr wenige
772118,KAPAR0,7,sehr wenige
772118,KAEN0,0,sehr wenige
772118,KABAA0,0,sehr wenige
772118,KASCHK0,0,sehr wenige
772118,KAOH0,0,sehr wenige
772119,KAHKO0,0,sehr wenige
772119,KAHM0,0,sehr wenige
772119,KAKIA,0,sehr wenige
772119,KAKIB,451,sehr viele
772119,KALE0,223,mittel
772119,KABK0,0,sehr wenige
772119,KALK0,0,sehr wenige
772119,KADK0,0,sehr wenige
772119,KAOM0,0,sehr wenige
772119,KAPRK0,0,sehr wenige
772119,KAPK0,0,sehr wenige
772119,KAEH0,0,sehr wenige
772119,KARH0,0,sehr wenige
772119,KARK0,0,sehr wenige
772119,KAEK0,0,sehr wenige
772119,KASA0,461,sehr viele
772119,KAMUS0,57,sehr wenige
772119,KAPAR0,50,sehr wenige
772119,KAEN0,0,sehr wenige
772119,KABAA0,0,sehr wenige
772119,KASCHK0,0,sehr wenige
772119,KAOH0,4,sehr wenige
772120,KAHKO0,0,sehr wenige
772120,KAHM0,0,sehr wenige
772120,KAKIA,0,sehr wenige
772120,KAKIB,0,sehr wenige
772120,KALE0,68,sehr wenige
772120,KABK0,0,sehr wenige
772120,KALK0,0,sehr wenige
772120,KADK0,0,sehr wenige
772120,KAOM0,0,sehr wenige
772120,KAPRK0,0,sehr wenige
772120,KAPK0,0,sehr wenige
772120,KAEH0,54,sehr wenige
772120,KARH0,7,sehr wenige
772120,KARK0,13,sehr wenige
772120,KAEK0,63,sehr wenige
772120,KASA0,0,sehr wenige
772120,KAMUS0,0,sehr wenige
772120,KAPAR0,0,sehr wenige
772120,KAEN0,0,sehr wenige
772120,KABAA0,42,sehr wenige
772120,KASCHK0,421,sehr viele
772120,KAOH0,121,wenige
772121,KAHKO0,0,sehr wenige
772121,KAHM0,0,sehr wenige
772121,KAKIA,0,sehr wenige
772121,KAKIB,770,sehr viele
772121,KALE0,669,sehr viele
772121,KABK0,190,wenige
772121,KALK0,12,sehr wenige
772121,KADK0,98,sehr wenige
772121,KAOM0,10,sehr wenige
772121,KAPRK0,91,sehr wenige
772121,KAPK0,21,sehr wenige
772121,KAEH0,17,sehr wenige
772121,KARH0,13,sehr wenige
772121,KARK0,4,sehr wenige
772121,KAEK0,0,sehr wenige
772121,KASA0,1136,sehr viele
772121,KAMUS0,81,sehr wenige
772121,KAPAR0,20,sehr wenige
772121,KAEN0,2413,sehr viele
772121,KABAA0,40,sehr wenige
772121,KASCHK0,347,sehr viele
772121,KAOH0,59,sehr wenige
772122,KAHKO0,0,sehr wenige
772122,KAHM0,0,sehr wenige
772122,KAKIA,0,sehr wenige
772122,KAKIB,140,wenige
772122,KALE0,200,wenige
772122,KABK0,0,sehr wenige
772122,KALK0,0,sehr wenige
772122,KADK0,29,sehr wenige
772122,KAOM0,0,sehr wenige
772122,KAPRK0,14,sehr wenige
772122,KAPK0,0,sehr wenige
772122,KAEH0,32,sehr wenige
772122,KARH0,6,sehr wenige
772122,KARK0,0,sehr wenige
772122,KAEK0,9,sehr wenige
772122,KASA0,0,sehr wenige
772122,KAMUS0,0,sehr wenige
772122,KAPAR0,0,sehr wenige
772122,KAEN0,451,sehr viele
772122,KABAA0,11,sehr wenige
772122,KASCHK0,136,wenige
772122,KAOH0,15,sehr wenige
772124,KAHKO0,0,sehr wenige
772124,KAHM0,0,sehr wenige
772124,KAKIA,0,sehr wenige
772124,KAKIB,456,sehr viele
772124,KALE0,342,viele
772124,KABK0,0,sehr wenige
772124,KALK0,0,sehr wenige
772124,KADK0,33,sehr wenige
772124,KAOM0,0,sehr wenige
772124,KAPRK0,0,sehr wenige
772124,KAPK0,0,sehr wenige
772124,KAEH0,36,sehr wenige
772124,KARH0,6,sehr wenige
772124,KARK0,0,sehr wenige
772124,KAEK0,0,sehr wenige
772124,KASA0,0,sehr wenige
772124,KAMUS0,0,sehr wenige
772124,KAPAR0,0,sehr wenige
772124,KAEN0,0,sehr wenige
772124,KABAA0,24,sehr wenige
772124,KASCHK0,269,viele
772124,KAOH0,36,sehr wenige
772125,KAHKO0,0,sehr wenige
772125,KAHM0,0,sehr wenige
772125,KAKIA,0,sehr wenige
772125,KAKIB,4,sehr wenige
772125,KALE0,641,sehr viele
772125,KABK0,135,wenige
772125,KALK0,22,sehr wenige
772125,KADK0,60,sehr wenige
772125,KAOM0,10,sehr wenige
772125,KAPRK0,0,sehr wenige
772125,KAPK0,7,sehr wenige
772125,KAEH0,61,sehr wenige
772125,KARH0,18,sehr wenige
772125,KARK0,16,sehr wenige
772125,KAEK0,93,sehr wenige
772125,KASA0,673,sehr viele
772125,KAMUS0,56,sehr wenige
772125,KAPAR0,49,sehr wenige
772125,KAEN0,1065,sehr viele
772125,KABAA0,0,sehr wenige
772125,KASCHK0,0,sehr wenige
772125,KAOH0,0,sehr wenige
772127,KAHKO0,0,sehr wenige
772127,KAHM0,0,sehr wenige
772127,KAKIA,0,sehr wenige
772127,KAKIB,430,sehr viele
772127,KALE0,298,viele
772127,KABK0,0,sehr wenige
772127,KALK0,12,sehr wenige
772127,KADK0,67,sehr wenige
772127,KAOM0,0,sehr wenige
772127,KAPRK0,0,sehr wenige
772127,KAPK0,10,sehr wenige
772127,KAEH0,0,sehr wenige
772127,KARH0,0,sehr wenige
772127,KARK0,0,sehr wenige
772127,KAEK0,0,sehr wenige
772127,KASA0,331,viele
772127,KAMUS0,5,sehr wenige
772127,KAPAR0,8,sehr wenige
772127,KAEN0,0,sehr wenige
772127,KABAA0,28,sehr wenige
772127,KASCHK0,436,sehr viele
772127,KAOH0,51,sehr wenige
772128,KAHKO0,0,sehr wenige
772128,KAHM0,0,sehr wenige
772128,KAKIA,0,sehr wenige
772128,KAKIB,0,sehr wenige
772128,KALE0,394,sehr viele
772128,KABK0,81,sehr wenige
772128,KALK0,0,sehr wenige
772128,KADK0,0,sehr wenige
772128,KAOM0,0,sehr wenige
772128,KAPRK0,0,sehr wenige
772128,KAPK0,0,sehr wenige
772128,KAEH0,78,sehr wenige
772128,KARH0,12,sehr wenige
772128,KARK0,5,sehr wenige
772128,KAEK0,72,sehr wenige
772128,KASA0,8,sehr wenige
772128,KAMUS0,0,sehr wenige
772128,KAPAR0,7,sehr wenige
772128,KAEN0,1249,sehr viele
772128,KABAA0,0,sehr wenige
772128,KASCHK0,0,sehr wenige
772128,KAOH0,0,sehr wenige
772129,KAHKO0,0,sehr wenige
772129,KAHM0,0,sehr wenige
772129,KAKIA,0,sehr wenige
772129,KAKIB,0,sehr wenige
772129,KALE0,0,sehr wenige
772129,KABK0,0,sehr wenige
772129,KALK0,0,sehr wenige
772129,KADK0,0,sehr wenige
772129,KAOM0,0,sehr wenige
772129,KAPRK0,0,sehr wenige
772129,KAPK0,0,sehr wenige
772129,KAEH0,0,sehr wenige
772129,KARH0,0,sehr wenige
772129,KARK0,0,sehr wenige
772129,KAEK0,0,sehr wenige
772129,KASA0,0,sehr wenige
772129,KAMUS0,0,sehr wenige
772129,KAPAR0,0,sehr wenige
772129,KAEN0,0,sehr wenige
772129,KABAA0,0,sehr wenige
772129,KASCHK0,0,sehr wenige
772129,KAOH0,0,sehr wenige
772130,KAHKO0,0,sehr wenige
772130,KAHM0,0,sehr wenige
772130,KAKIA,0,sehr wenige
772130,KAKIB,0,sehr wenige
772130,KALE0,7,sehr wenige
772130,KABK0,0,sehr wenige
772130,KALK0,0,sehr wenige
772130,KADK0,25,sehr wenige
772130,KAOM0,0,sehr wenige
772130,KAPRK0,0,sehr wenige
772130,KAPK0,0,sehr wenige
772130,KAEH0,43,sehr wenige
772130,KARH0,0,sehr wenige
772130,KARK0,0,sehr wenige
772130,KAEK0,92,sehr wenige
772130,KASA0,0,sehr wenige
772130,KAMUS0,0,sehr wenige
772130,KAPAR0,0,sehr wenige
772130,KAEN0,0,sehr wenige
772130,KABAA0,0,sehr wenige
772130,KASCHK0,0,sehr wenige
772130,KAOH0,0,sehr wenige
772131,KAHKO0,291,viele
772131,KAHM0,565,sehr viele
772131,KAKIA,558,sehr viele
772131,KAKIB,0,sehr wenige
772131,KALE0,0,sehr wenige
772131,KABK0,0,sehr wenige
772131,KALK0,0,sehr wenige
772131,KADK0,0,sehr wenige
772131,KAOM0,0,sehr wenige
772131,KAPRK0,0,sehr wenige
772131,KAPK0,0,sehr wenige
772131,KAEH0,0,sehr wenige
772131,KARH0,0,sehr wenige
772131,KARK0,0,sehr wenige
772131,KAEK0,0,sehr wenige
772131,KASA0,0,sehr wenige
772131,KAMUS0,0,sehr wenige
772131,KAPAR0,0,sehr wenige
772131,KAEN0,0,sehr wenige
772131,KABAA0,0,sehr wenige
772131,KASCHK0,0,sehr wenige
772131,KAOH0,0,sehr wenige
772132,KAHKO0,0,sehr wenige
772132,KAHM0,0,sehr wenige
772132,KAKIA,0,sehr wenige
772132,KAKIB,0,sehr wenige
772132,KALE0,0,sehr wenige
772132,KABK0,0,sehr wenige
772132,KALK0,0,sehr wenige
772132,KADK0,0,sehr wenige
772132,KAOM0,0,sehr wenige
772132,KAPRK0,0,sehr wenige
772132,KAPK0,0,sehr wenige
772132,KAEH0,0,sehr wenige
772132,KARH0,0,sehr wenige
772132,KARK0,0,sehr wenige
772132,KAEK0,0,sehr wenige
772132,KASA0,0,sehr wenige
772132,KAMUS0,4,sehr wenige
772132,KAPAR0,10,sehr wenige
772132,KAEN0,0,sehr wenige
772132,KABAA0,0,sehr wenige
772132,KASCHK0,0,sehr wenige
772132,KAOH0,0,sehr wenige
772133,KAHKO0,0,sehr wenige
772133,KAHM0,0,sehr wenige
772133,KAKIA,0,sehr wenige
772133,KAKIB,0,sehr wenige
772133,KALE0,144,wenige
772133,KABK0,0,sehr wenige
772133,KALK0,9,sehr wenige
772133,KADK0,27,sehr wenige
772133,KAOM0,0,sehr wenige
772133,KAPRK0,136,wenige
