hospital_id,treatment_code,count_number,count_label
773155,KAHKO0,0,sehr wenige
773155,KAHM0,0,sehr wenige
773155,KAKIA,0,sehr wenige
773155,KAKIB,135,wenige
773155,KALE0,292,viele
773155,KABK0,0,sehr wenige
773155,KALK0,0,sehr wenige
773155,KADK0,32,sehr wenige
773155,KAOM0,0,sehr wenige
773155,KAPRK0,0,sehr wenige
773155,KAPK0,0,sehr wenige
773155,KAEH0,109,sehr wenige
773155,KARH0,28,sehr wenige
773155,KARK0,18,sehr wenige
773155,KAEK0,127,wenige
773155,KASA0,0,sehr wenige
773155,KAMUS0,0,sehr wenige
773155,KAPAR0,5,sehr wenige
773155,KAEN0,0,sehr wenige
773155,KABAA0,78,sehr wenige
773155,KASCHK0,500,sehr viele
773155,KAOH0,64,sehr wenige
773158,KAHKO0,0,sehr wenige
773158,KAHM0,0,sehr wenige
773158,KAKIA,0,sehr wenige
773158,KAKIB,79,sehr wenige
773158,KALE0,151,wenige
773158,KABK0,0,sehr wenige
773158,KALK0,0,sehr wenige
773158,KADK0,13,sehr wenige
773158,KAOM0,0,sehr wenige
773158,KAPRK0,46,sehr wenige
773158,KAPK0,0,sehr wenige
773158,KAEH0,71,sehr wenige
773158,KARH0,7,sehr wenige
773158,KARK0,0,sehr wenige
773158,KAEK0,93,sehr wenige
773158,KASA0,4,sehr wenige
773158,KAMUS0,0,sehr wenige
773158,KAPAR0,0,sehr wenige
773158,KAEN0,0,sehr wenige
773158,KABAA0,0,sehr wenige
773158,KASCHK0,42,sehr wenige
773158,KAOH0,0,sehr wenige
773162,KAHKO0,0,sehr wenige
773162,KAHM0,0,sehr wenige
773162,KAKIA,0,sehr wenige
773162,KAKIB,0,sehr wenige
773162,KALE0,0,sehr wenige
773162,KABK0,0,sehr wenige
773162,KALK0,0,sehr wenige
773162,KADK0,0,sehr wenige
773162,KAOM0,0,sehr wenige
773162,KAPRK0,0,sehr wenige
773162,KAPK0,0,sehr wenige
773162,KAEH0,595,sehr viele
773162,KARH0,122,wenige
773162,KARK0,162,wenige
773162,KAEK0,553,sehr viele
773162,KASA0,0,sehr wenige
773162,KAMUS0,0,sehr wenige
773162,KAPAR0,0,sehr wenige
773162,KAEN0,0,sehr wenige
773162,KABAA0,0,sehr wenige
773162,KASCHK0,0,sehr wenige
773162,KAOH0,0,sehr wenige
773163,KAHKO0,0,sehr wenige
773163,KAHM0,0,sehr wenige
773163,KAKIA,0,sehr wenige
773163,KAKIB,0,sehr wenige
773163,KALE0,46,sehr wenige
773163,KABK0,0,sehr wenige
773163,KALK0,0,sehr wenige
773163,KADK0,0,sehr wenige
773163,KAOM0,0,sehr wenige
773163,KAPRK0,0,sehr wenige
773163,KAPK0,0,sehr wenige
773163,KAEH0,0,sehr wenige
773163,KARH0,0,sehr wenige
773163,KARK0,0,sehr wenige
773163,KAEK0,0,sehr wenige
773163,KASA0,0,sehr wenige
773163,KAMUS0,0,sehr wenige
773163,KAPAR0,0,sehr wenige
773163,KAEN0,0,sehr wenige
773163,KABAA0,0,sehr wenige
773163,KASCHK0,0,sehr wenige
773163,KAOH0,0,sehr wenige
773164,KAHKO0,0,sehr wenige
773164,KAHM0,0,sehr wenige
773164,KAKIA,0,sehr wenige
773164,KAKIB,0,sehr wenige
773164,KALE0,629,sehr viele
773164,KABK0,30,sehr wenige
773164,KALK0,6,sehr wenige
773164,KADK0,56,sehr wenige
773164,KAOM0,0,sehr wenige
773164,KAPRK0,0,sehr wenige
773164,KAPK0,0,sehr wenige
773164,KAEH0,0,sehr wenige
773164,KARH0,0,sehr wenige
773164,KARK0,0,sehr wenige
773164,KAEK0,0,sehr wenige
773164,KASA0,0,sehr wenige
773164,KAMUS0,0,sehr wenige
773164,KAPAR0,0,sehr wenige
773164,KAEN0,1490,sehr viele
773164,KABAA0,0,sehr wenige
773164,KASCHK0,0,sehr wenige
773164,KAOH0,0,sehr wenige
773165,KAHKO0,0,sehr wenige
773165,KAHM0,0,sehr wenige
773165,KAKIA,0,sehr wenige
