hospital_id,treatment_code,count_number,count_label
772662,KAHKO0,0,sehr wenige
772662,KAHM0,0,sehr wenige
772662,KAKIA,0,sehr wenige
772662,KAKIB,235,mittel
772662,KALE0,474,sehr viele
772662,KABK0,8,sehr wenige
772662,KALK0,0,sehr wenige
772662,KADK0,23,sehr wenige
772662,KAOM0,0,sehr wenige
772662,KAPRK0,0,sehr wenige
772662,KAPK0,0,sehr wenige
772662,KAEH0,179,wenige
772662,KARH0,9,sehr wenige
772662,KARK0,25,sehr wenige
772662,KAEK0,93,sehr wenige
772662,KASA0,0,sehr wenige
772662,KAMUS0,4,sehr wenige
772662,KAPAR0,9,sehr wenige
772662,KAEN0,314,viele
772662,KABAA0,0,sehr wenige
772662,KASCHK0,92,sehr wenige
772662,KAOH0,10,sehr wenige
772663,KAHKO0,0,sehr wenige
772663,KAHM0,0,sehr wenige
772663,KAKIA,0,sehr wenige
772663,KAKIB,0,sehr wenige
772663,KALE0,296,viele
772663,KABK0,85,sehr wenige
772663,KALK0,0,sehr wenige
772663,KADK0,49,sehr wenige
772663,KAOM0,0,sehr wenige
772663,KAPRK0,0,sehr wenige
772663,KAPK0,0,sehr wenige
772663,KAEH0,0,sehr wenige
772663,KARH0,0,sehr wenige
772663,KARK0,0,sehr wenige
772663,KAEK0,0,sehr wenige
772663,KASA0,0,sehr wenige
772663,KAMUS0,0,sehr wenige
772663,KAPAR0,0,sehr wenige
772663,KAEN0,1381,sehr viele
772663,KABAA0,0,sehr wenige
772663,KASCHK0,0,sehr wenige
772663,KAOH0,0,sehr wenige
772664,KAHKO0,0,sehr wenige
772664,KAHM0,0,sehr wenige
772664,KAKIA,0,sehr wenige
772664,KAKIB,406,sehr viele
772664,KALE0,214,mittel
772664,KABK0,46,sehr wenige
772664,KALK0,0,sehr wenige
772664,KADK0,24,sehr wenige
772664,KAOM0,0,sehr wenige
772664,KAPRK0,0,sehr wenige
772664,KAPK0,0,sehr wenige
772664,KAEH0,103,sehr wenige
772664,KARH0,4,sehr wenige
772664,KARK0,38,sehr wenige
772664,KAEK0,171,wenige
772664,KASA0,0,sehr wenige
772664,KAMUS0,0,sehr wenige
772664,KAPAR0,5,sehr wenige
772664,KAEN0,339,viele
772664,KABAA0,0,sehr wenige
772664,KASCHK0,93,sehr wenige
772664,KAOH0,0,sehr wenige
772665,KAHKO0,0,sehr wenige
772665,KAHM0,0,sehr wenige
772665,KAKIA,0,sehr wenige
772665,KAKIB,292,viele
772665,KALE0,602,sehr viele
772665,KABK0,204,mittel
772665,KALK0,0,sehr wenige
772665,KADK0,104,sehr wenige
772665,KAOM0,15,sehr wenige
772665,KAPRK0,103,sehr wenige
772665,KAPK0,14,sehr wenige
772665,KAEH0,99,sehr wenige
772665,KARH0,26,sehr wenige
772665,KARK0,0,sehr wenige
772665,KAEK0,78,sehr wenige
772665,KASA0,479,sehr viele
772665,KAMUS0,25,sehr wenige
772665,KAPAR0,36,sehr wenige
772665,KAEN0,1782,sehr viele
772665,KABAA0,16,sehr wenige
772665,KASCHK0,339,viele
772665,KAOH0,19,sehr wenige
772671,KAHKO0,0,sehr wenige
772671,KAHM0,0,sehr wenige
772671,KAKIA,0,sehr wenige
772671,KAKIB,476,sehr viele
772671,KALE0,613,sehr viele
772671,KABK0,190,wenige
772671,KALK0,60,sehr wenige
772671,KADK0,108,sehr wenige
772671,KAOM0,19,sehr wenige
772671,KAPRK0,50,sehr wenige
772671,KAPK0,13,sehr wenige
772671,KAEH0,183,wenige
772671,KARH0,27,sehr wenige
772671,KARK0,10,sehr wenige
772671,KAEK0,59,sehr wenige
772671,KASA0,880,sehr viele
772671,KAMUS0,28,sehr wenige
772671,KAPAR0,45,sehr wenige
772671,KAEN0,1588,sehr viele
772671,KABAA0,30,sehr wenige
772671,KASCHK0,262,viele
772671,KAOH0,35,sehr wenige
772672,KAHKO0,0,sehr wenige
772672,KAHM0,0,sehr wenige
772672,KAKIA,0,sehr wenige
772672,KAKIB,0,sehr wenige
772672,KALE0,0,sehr wenige
772672,KABK0,0,sehr wenige
772672,KALK0,0,sehr wenige
772672,KADK0,0,sehr wenige
772672,KAOM0,0,sehr wenige
772672,KAPRK0,0,sehr wenige
772672,KAPK0,0,sehr wenige
772672,KAEH0,389,sehr viele
772672,KARH0,30,sehr wenige
772672,KARK0,29,sehr wenige
772672,KAEK0,352,sehr viele
772672,KASA0,0,sehr wenige
772672,KAMUS0,0,sehr wenige
772672,KAPAR0,0,sehr wenige
772672,KAEN0,0,sehr wenige
772672,KABAA0,0,sehr wenige
772672,KASCHK0,0,sehr wenige
772672,KAOH0,0,sehr wenige
772673,KAHKO0,0,sehr wenige
772673,KAHM0,0,sehr wenige
772673,KAKIA,0,sehr wenige
772673,KAKIB,488,sehr viele
772673,KALE0,687,sehr viele
772673,KABK0,458,sehr viele
772673,KALK0,0,sehr wenige
772673,KADK0,66,sehr wenige
772673,KAOM0,7,sehr wenige
772673,KAPRK0,0,sehr wenige
772673,KAPK0,0,sehr wenige
772673,KAEH0,103,sehr wenige
772673,KARH0,8,sehr wenige
772673,KARK0,7,sehr wenige
772673,KAEK0,139,wenige
772673,KASA0,722,sehr viele
772673,KAMUS0,423,sehr viele
772673,KAPAR0,86,sehr wenige
772673,KAEN0,2591,sehr viele
772673,KABAA0,12,sehr wenige
772673,KASCHK0,166,wenige
772673,KAOH0,70,sehr wenige
772674,KAHKO0,0,sehr wenige
772674,KAHM0,0,sehr wenige
772674,KAKIA,0,sehr wenige
772674,KAKIB,0,sehr wenige
772674,KALE0,150,wenige
772674,KABK0,0,sehr wenige
772674,KALK0,0,sehr wenige
772674,KADK0,8,sehr wenige
772674,KAOM0,0,sehr wenige
772674,KAPRK0,0,sehr wenige
772674,KAPK0,0,sehr wenige
772674,KAEH0,282,viele
772674,KARH0,19,sehr wenige
772674,KARK0,28,sehr wenige
772674,KAEK0,189,wenige
772674,KASA0,0,sehr wenige
772674,KAMUS0,0,sehr wenige
772674,KAPAR0,0,sehr wenige
772674,KAEN0,1151,sehr viele
772674,KABAA0,0,sehr wenige
772674,KASCHK0,0,sehr wenige
772674,KAOH0,0,sehr wenige
772675,KAHKO0,0,sehr wenige
772675,KAHM0,0,sehr wenige
772675,KAKIA,0,sehr wenige
772675,KAKIB,367,sehr viele
772675,KALE0,503,sehr viele
772675,KABK0,100,sehr wenige
772675,KALK0,0,sehr wenige
772675,KADK0,71,sehr wenige
772675,KAOM0,7,sehr wenige
772675,KAPRK0,0,sehr wenige
772675,KAPK0,4,sehr wenige
772675,KAEH0,20,sehr wenige
772675,KARH0,17,sehr wenige
772675,KARK0,7,sehr wenige
772675,KAEK0,0,sehr wenige
772675,KASA0,301,viele
772675,KAMUS0,31,sehr wenige
772675,KAPAR0,27,sehr wenige
772675,KAEN0,2036,sehr viele
772675,KABAA0,10,sehr wenige
772675,KASCHK0,188,wenige
772675,KAOH0,34,sehr wenige
772676,KAHKO0,0,sehr wenige
772676,KAHM0,0,sehr wenige
772676,KAKIA,0,sehr wenige
772676,KAKIB,0,sehr wenige
772676,KALE0,225,mittel
772676,KABK0,0,sehr wenige
772676,KALK0,0,sehr wenige
772676,KADK0,0,sehr wenige
772676,KAOM0,0,sehr wenige
772676,KAPRK0,0,sehr wenige
772676,KAPK0,0,sehr wenige
772676,KAEH0,287,viele
772676,KARH0,7,sehr wenige
772676,KARK0,13,sehr wenige
772676,KAEK0,250,mittel
772676,KASA0,0,sehr wenige
772676,KAMUS0,0,sehr wenige
772676,KAPAR0,0,sehr wenige
772676,KAEN0,0,sehr wenige
772676,KABAA0,0,sehr wenige
772676,KASCHK0,0,sehr wenige
772676,KAOH0,0,sehr wenige
772677,KAHKO0,0,sehr wenige
772677,KAHM0,0,sehr wenige
772677,KAKIA,0,sehr wenige
772677,KAKIB,0,sehr wenige
772677,KALE0,0,sehr wenige
772677,KABK0,0,sehr wenige
772677,KALK0,0,sehr wenige
772677,KADK0,0,sehr wenige
772677,KAOM0,0,sehr wenige
772677,KAPRK0,6,sehr wenige
772677,KAPK0,0,sehr wenige
772677,KAEH0,322,viele
772677,KARH0,5,sehr wenige
